EgoID,Egojob,NumAlter,NumKin,NumNonKin
NAN2378,fish,1,1,0
QNN2467,fish,1,1,0
EYG9594,fish,1,1,0
ZVM3980,fish,1,1,0
HFB7372,fish,1,1,0
SMM7532,fish,2,2,0
ZEY5084,fish,2,2,0
HYK2413,trade,1,1,0
ZBD9835,trade,1,1,0
BZX0989,trade,1,1,0
YAU8771,trade,1,1,0
GQO8179,trade,1,1,0
MLX4353,trade,1,1,0
BHD8536,trade,1,0,1
AIV2838,trade,2,2,0
BSO9387,trade,2,2,0
VND0828,trade,2,0,2
ODL5754,trade,2,0,2
OXN5598,trade,2,2,0
XYH9572,trade,2,2,0
KJK2358,trade,2,2,0
REK8698,trade,2,2,0
PSN3617,trade,2,2,0
HOE5964,trade,2,2,0
TEY4121,trade,2,1,1
BNQ1390,trade,2,0,2
HRT4621,trade,3,3,0
PNR4588,trade,3,3,0
NYF6446,trade,3,3,0
UWU1594,trade,3,3,0
JVB4502,trade,3,3,0
SXL2320,trade,4,3,1
FZL3954,trade,5,5,0
UBS3042,trade,5,4,1
